Modelis,Chunk Dydis,K Reikšmė,Tikslumas (Recall %),Vid. Laikas (sek)
Meta-Llama-3-8B-Instruct,256,1,43.33,8.08
Meta-Llama-3-8B-Instruct,256,3,50.0,6.36
Meta-Llama-3-8B-Instruct,256,5,53.33,5.33
Meta-Llama-3-8B-Instruct,256,10,66.67,5.77
Meta-Llama-3-8B-Instruct,512,1,36.67,6.54
Meta-Llama-3-8B-Instruct,512,3,40.0,6.53
Meta-Llama-3-8B-Instruct,512,5,60.0,6.35
Meta-Llama-3-8B-Instruct,512,10,70.0,6.91
Meta-Llama-3-8B-Instruct,1024,1,46.67,6.36
Meta-Llama-3-8B-Instruct,1024,3,63.33,6.02
Meta-Llama-3-8B-Instruct,1024,5,66.67,7.36
Meta-Llama-3-8B-Instruct,1024,10,76.67,7.96
Mistral-7B-Instruct-v0.2,256,1,43.33,12.65
Mistral-7B-Instruct-v0.2,256,3,50.0,12.39
Mistral-7B-Instruct-v0.2,256,5,53.33,12.44
Mistral-7B-Instruct-v0.2,256,10,66.67,11.65
Mistral-7B-Instruct-v0.2,512,1,36.67,12.32
Mistral-7B-Instruct-v0.2,512,3,40.0,12.45
Mistral-7B-Instruct-v0.2,512,5,60.0,12.1
Mistral-7B-Instruct-v0.2,512,10,70.0,13.08
Mistral-7B-Instruct-v0.2,1024,1,46.67,12.47
Mistral-7B-Instruct-v0.2,1024,3,63.33,12.3
Mistral-7B-Instruct-v0.2,1024,5,66.67,12.7
Mistral-7B-Instruct-v0.2,1024,10,76.67,13.6
Qwen2.5-7B-Instruct,256,1,43.33,8.92
Qwen2.5-7B-Instruct,256,3,50.0,8.02
Qwen2.5-7B-Instruct,256,5,53.33,8.0
Qwen2.5-7B-Instruct,256,10,66.67,7.99
Qwen2.5-7B-Instruct,512,1,36.67,8.64
Qwen2.5-7B-Instruct,512,3,40.0,9.13
Qwen2.5-7B-Instruct,512,5,60.0,8.76
Qwen2.5-7B-Instruct,512,10,70.0,9.2
Qwen2.5-7B-Instruct,1024,1,46.67,6.67
Qwen2.5-7B-Instruct,1024,3,63.33,9.35
Qwen2.5-7B-Instruct,1024,5,66.67,10.44
Qwen2.5-7B-Instruct,1024,10,76.67,11.81
gemma-1.1-7b-it,256,1,43.33,0.63
gemma-1.1-7b-it,256,3,50.0,0.96
gemma-1.1-7b-it,256,5,53.33,0.88
gemma-1.1-7b-it,256,10,66.67,0.73
gemma-1.1-7b-it,512,1,36.67,0.93
gemma-1.1-7b-it,512,3,40.0,0.72
gemma-1.1-7b-it,512,5,60.0,0.8
gemma-1.1-7b-it,512,10,70.0,2.05
gemma-1.1-7b-it,1024,1,46.67,0.67
gemma-1.1-7b-it,1024,3,63.33,0.82
gemma-1.1-7b-it,1024,5,66.67,1.72
gemma-1.1-7b-it,1024,10,76.67,3.54
